,Mkt,Mkt_cumret,Mkt_std
1963-01,0.717707006369427,-0.4667893299932466,0.2732745874721072
1963-02,0.21681528662420396,-0.386396398367542,0.26320189018798335
1963-03,0.41757961783439507,-0.3344617068961322,0.3129913888390452
1963-04,0.04407643312101925,-0.3633776634806971,0.31998425933857333
1963-05,0.3222929936305734,-0.18821471104260104,0.256232304852956
1963-06,0.3961783439490448,0.0805962521134973,0.086414933304235
1963-07,0.2555414012738855,0.31999161942061727,-0.19552635665547569
1963-08,0.06343949044586,0.13433290356476046,-0.19965484703615255
1963-09,0.14751592356687912,0.08122519496707498,-0.18969275444086864
1963-10,0.4247133757961785,0.31382366316674704,-0.3171438706581101
1963-11,0.08738853503184726,0.2783226361731209,-0.28705474669062336
1963-12,0.29732484076433136,0.10481284501898658,-0.5822836654772194
1964-01,0.12407643312101925,0.0659381594327747,-0.5606638332968763
1964-02,0.26165605095541417,0.004156791451342012,-0.622042213435412
1964-03,0.2830573248407645,0.10297999145687864,-0.6843911633627062
1964-04,0.24535031847133776,0.07139985742811944,-0.6986702891243827
1964-05,0.24127388535031863,0.009617725085582784,-0.7602644096501305
1964-06,0.17350318471337595,-0.023012597373238547,-0.7592064141024029
1964-07,0.23923566878980906,0.04844705428193824,-0.8199557571984457
1964-08,0.2336305732484078,0.0840827718465067,-0.839748873989437
1964-09,0.25757961783439504,0.017382554462524624,-0.9573021179959318
1964-10,0.09452229299363071,0.020325855873120302,-0.9643769474556385
1964-11,0.30496815286624224,0.023357324647503896,-0.9598669283807267
1964-12,0.198471337579618,0.0539172050176126,-0.9989311824524707
1965-01,0.16840764331210206,0.01607781287703397,-0.9902732804787071
1965-02,0.170955414012739,-0.028413995747365223,-0.9999999999999999
1965-03,0.34828025477707025,0.01185168703657763,-0.9360990253933514
1965-04,0.19133757961783454,-0.008086444053701347,-0.9352579824872201
1965-05,0.1036942675159237,-0.03605631295953485,-0.9005838434756875
1965-06,0.3278980891719747,-0.0014618576973066122,-0.863307666554016
1965-07,0.1301910828025479,-0.042557177743477725,-0.8448351402452529
1965-08,-0.10929936305732468,-0.18474290773466343,-0.648888491983476
1965-09,0.24229299363057338,-0.1297913102681405,-0.6566940223215451
1965-10,0.3095541401273887,-0.12810628718688855,-0.6545960118721351
1965-11,0.31515923566879,-0.08430530071822173,-0.6271296423009163
1965-12,0.30191082802547786,-0.032753302962336195,-0.612840798633975
1966-01,0.16993630573248422,-0.033156909029118,-0.6126875846264069
1966-02,0.22191082802547785,-0.08151686199411765,-0.6498447995430157
1966-03,0.2096815286624205,-0.07445505826089582,-0.6498969342117706
1966-04,0.10980891719745237,-0.07205167726908021,-0.6521428021778984
1966-05,0.04509554140127403,-0.17860788117739512,-0.6485734455245897
1966-06,0.28000000000000014,-0.12310889631743563,-0.6364470764746407
1966-07,-0.11388535031847125,-0.12494470656556,-0.6312685078624896
1966-08,0.0996178343949046,-0.17813480538251814,-0.6245572962568402
1966-09,0.08840764331210205,-0.257283592344212,-0.6510782658114217
1966-10,-0.2285350318471337,-0.443479730558487,-0.4865345874013922
1966-11,0.12000000000000013,-0.4994759388738381,-0.5510190996699299
1966-12,0.37324840764331224,-0.4375033081469335,-0.44344790000062406
1967-01,0.24535031847133773,-0.4301492016672035,-0.43515333778529863
1967-02,0.1806369426751594,-0.4393249936637804,-0.4422325394626717
1967-03,0.5908280254777072,-0.2852303770258516,-0.17881292694886985
1967-04,0.21171974522293008,-0.22601104913221898,-0.1905837776674566
1967-05,0.37681528662420405,-0.1920521850351954,-0.1575107927137227
1967-06,0.3681528662420384,-0.005788254037438267,-0.23450270958985553
1967-07,-0.050191082802547665,-0.06675913191041002,-0.1708674756208446
1967-08,0.2901910828025479,0.013102170764471122,-0.18274358780758937
1967-09,0.4028025477707008,0.2904703513316502,-0.44685976184649234
1967-10,0.12407643312101925,0.29236132398422865,-0.44876542334731295
1967-11,0.32840764331210204,0.2725357510543781,-0.4579246575993581
1967-12,0.016050955414012885,0.16953169300154713,-0.3696424798473257
1968-01,0.19082802547770716,0.17396256265838378,-0.3716182582477864
1968-02,0.3258598726114651,0.06708874598991499,-0.5355014267686261
1968-03,-0.03286624203821642,-0.03374892152825146,-0.4354203348432073
1968-04,-0.017579617834394767,-0.18382513519973026,-0.41842773971093616
1968-05,0.18318471337579634,-0.2490968547223483,-0.4760166772843847
1968-06,0.6366878980891721,0.004853438919767694,-0.2873936652190733
1968-07,0.29273885350318485,0.005857771983133531,-0.28696615203986975
1968-08,0.21070063694267532,-0.068309500628216,-0.33137466138882576
1968-09,0.03949044585987273,-0.1015251195114337,-0.3058983566519531
1968-10,0.2433121019108282,-0.13310899363140208,-0.3255749965926771
1968-11,0.38089171974522307,0.00851153438558111,-0.33297384009829734
1968-12,0.1974522292993632,0.011178072077143664,-0.33346793173892275
1969-01,0.4517197452229301,0.06060729281470317,-0.28348079949730043
1969-02,-0.02522292993630562,0.06390538119879424,-0.28840201155842504
1969-03,0.1169426751592358,0.12186163997346788,-0.3536440673878497
1969-04,-0.12050955414012726,-0.007287884948845302,-0.20467461035657952
1969-05,0.31159235668789825,-0.12677343492394486,-0.42337840225248646
1969-06,0.25503184713375815,-0.14068217544532896,-0.4324530805004365
1969-07,0.17299363057324854,-0.15471058175244912,-0.4331163842273833
1969-08,-0.18624203821656043,-0.24094216120283438,-0.28645889807807057
1969-09,-0.17605095541401267,-0.3878708548895675,-0.17910059457407357
1969-10,0.41757961783439507,-0.37636178595136255,-0.15735191889916567
1969-11,0.033375796178344075,-0.4300374924361987,-0.15530500761818122
