,Mkt,Mkt_cumret,Mkt_std
1963-01,-0.010071942446043147,-0.8129496402877698,0.8187050359712231
1963-02,0.7179856115107914,-0.6805755395683453,0.8100719424460432
1963-03,-0.5884892086330935,-0.6402877697841727,0.8388489208633094
1963-04,0.41582733812949635,-0.6661870503597123,0.8474820143884891
1963-05,0.6633093525179856,-0.4244604316546763,0.8043165467625899
1963-06,0.18705035971223016,0.4302158273381296,0.6028776978417267
1963-07,-0.5223021582733813,0.8733812949640287,0.2086330935251799
1963-08,-0.2776978417266187,0.6143884892086331,0.20575539568345325
1963-09,0.743884892086331,0.4330935251798562,0.22877697841726619
1963-10,-0.4733812949640288,0.8705035971223021,-0.06474820143884896
1963-11,0.3438848920863309,0.8302158273381295,-0.007194244604316502
1963-12,-0.3323741007194245,0.5223021582733813,-0.516546762589928
1964-01,0.21294964028776975,0.3870503597122301,-0.48201438848920863
1964-02,0.2776978417266187,0.19136690647482024,-0.6057553956834533
1964-03,0.14964028776978422,0.516546762589928,-0.7525179856115107
1964-04,0.10935251798561141,0.40143884892086334,-0.7726618705035971
1964-05,-0.1827338129496403,0.2230215827338129,-0.8330935251798561
1964-06,0.09208633093525176,0.07050359712230225,-0.8302158273381295
1964-07,0.06762589928057561,0.3381294964028776,-0.902158273381295
1964-08,0.1971223021582733,0.4388489208633093,-0.9223021582733814
1964-09,-0.4388489208633094,0.2517985611510791,-0.9769784172661871
1964-10,0.3640287769784172,0.26043165467625906,-0.9827338129496404
1964-11,-0.0877697841726619,0.28057553956834536,-0.9798561151079137
1964-12,-0.19999999999999996,0.3525179856115108,-0.9942446043165468
1965-01,-0.19136690647482013,0.24892086330935248,-0.9856115107913669
1965-02,0.502158273381295,0.05899280575539567,-0.9971223021582734
1965-03,-0.11654676258992802,0.23741007194244612,-0.9741007194244604
1965-04,-0.3899280575539569,0.14532374100719414,-0.9712230215827339
1965-05,0.44172661870503593,0.012949640287769792,-0.9654676258992806
1965-06,-0.31366906474820144,0.17122302158273373,-0.9338129496402878
1965-07,-0.8287769784172663,-0.012949640287769792,-0.9251798561151079
1965-08,0.11942446043165478,-0.41582733812949646,-0.6776978417266187
1965-09,0.3712230215827339,-0.27482014388489207,-0.7064748201438849
1965-10,0.40143884892086334,-0.26043165467625895,-0.7035971223021583
1965-11,0.3568345323741007,-0.1482014388489209,-0.6258992805755396
1965-12,-0.19424460431654678,0.04460431654676267,-0.5769784172661871
1966-01,0.01726618705035965,0.03884892086330938,-0.5741007194244605
1966-02,-0.05611510791366903,-0.13381294964028778,-0.6805755395683453
1966-03,-0.37553956834532376,-0.09928057553956837,-0.6834532374100719
1966-04,-0.5741007194244605,-0.0877697841726619,-0.7007194244604317
1966-05,0.26618705035971213,-0.3899280575539569,-0.6719424460431656
1966-06,-0.8388489208633094,-0.2431654676258993,-0.6517985611510791
1966-07,-0.41582733812949646,-0.24892086330935248,-0.6345323741007194
1966-08,-0.4676258992805755,-0.38705035971223023,-0.6172661870503597
1966-09,-0.9251798561151079,-0.5453237410071943,-0.6920863309352518
1966-10,-0.34676258992805753,-0.7697841726618705,-0.33525179856115106
1966-11,0.5827338129496402,-0.8561151079136691,-0.4474820143884892
1966-12,0.14244604316546772,-0.7611510791366907,-0.2575539568345324
1967-01,-0.15827338129496404,-0.743884892086331,-0.24892086330935248
1967-02,0.9424460431654675,-0.7640287769784173,-0.25467625899280577
1967-03,-0.0402877697841727,-0.5884892086330935,0.26043165467625906
1967-04,0.6028776978417267,-0.49064748201438846,0.22014388489208625
1967-05,0.5683453237410072,-0.4330935251798561,0.32086330935251794
1967-06,-0.7827338129496403,0.15683453237410072,0.13093525179856114
1967-07,0.3050359712230215,-0.07338129496402879,0.283453237410072
1967-08,0.6776978417266186,0.2431654676258992,0.2431654676258992
1967-09,-0.3294964028776979,0.8474820143884891,-0.26043165467625895
1967-10,0.446043165467626,0.8503597122302158,-0.26618705035971224
1967-11,-0.6575539568345323,0.8244604316546762,-0.283453237410072
1967-12,-0.12230215827338131,0.6805755395683453,-0.1482014388489209
1968-01,0.42733812949640293,0.6892086330935252,-0.15395683453237408
1968-02,-0.7410071942446044,0.38992805755395676,-0.43021582733812946
1968-03,-0.7251798561151079,0.03597122302158273,-0.2517985611510791
1968-04,-0.14532374100719425,-0.4129496402877698,-0.21726618705035972
1968-05,0.9597122302158274,-0.5338129496402878,-0.3093525179856115
1968-06,0.31510791366906465,0.19424460431654667,-0.010071942446043147
1968-07,-0.0474820143884892,0.19999999999999996,-0.004316546762589968
1968-08,-0.6057553956834533,-0.07625899280575543,-0.09352517985611508
1968-09,0.12949640287769792,-0.19999999999999996,-0.0474820143884892
1968-10,0.6201438848920864,-0.28633093525179854,-0.08201438848920861
1968-11,-0.09064748201438855,0.21151079136690654,-0.09640287769784173
1968-12,0.7985611510791366,0.23165467625899283,-0.09928057553956837
1969-01,-0.7323741007194244,0.3669064748201438,0.004316546762589857
1969-02,-0.3496402877697842,0.3784172661870504,-0.018705035971222972
1969-03,-0.841726618705036,0.5798561151079136,-0.12517985611510796
1969-04,0.38273381294964026,0.14820143884892079,0.1971223021582733
1969-05,0.1827338129496403,-0.2575539568345324,-0.22877697841726619
1969-06,-0.18561151079136695,-0.3035971223021583,-0.24028776978417266
1969-07,-0.8964028776978418,-0.3381294964028777,-0.2431654676258993
1969-08,-0.8935251798561151,-0.5079136690647482,-0.0014388489208632116
1969-09,0.7151079136690648,-0.6863309352517986,0.2575539568345324
1969-10,-0.6201438848920864,-0.6719424460431656,0.3237410071942446
